wage,exper,union,goodhlth,black,female,married,service,educ,looks
d,d,d,d,d,d,d,d,d,d
,,,,,,,,,c
6,30,0,1,0,1,1,1,14,4
4,28,0,1,0,1,1,0,12,3
8,35,0,1,0,1,0,0,10,4
12,38,0,1,0,0,1,1,16,3
11,27,0,1,0,0,1,0,16,3
4,20,0,0,0,1,1,0,12,3
9,12,0,1,0,0,1,0,16,3
8,5,1,1,0,0,0,0,16,4
5,5,0,1,0,1,0,0,16,3
4,12,0,1,0,1,0,0,12,3
3,3,0,1,0,1,0,0,12,4
4,6,0,1,0,0,1,0,16,4
5,19,0,1,0,0,1,1,17,2
3,8,0,1,0,0,0,1,16,3
8,12,0,1,0,0,1,0,16,4
6,17,0,1,0,0,1,0,16,4
5,7,0,1,0,0,1,0,17,3
12,12,0,1,0,0,1,1,17,4
10,10,0,1,0,1,0,0,17,4
8,7,0,1,0,1,1,1,16,3
8,7,1,1,0,0,0,0,17,4
7,19,0,1,0,0,1,1,14,3
7,33,0,1,0,0,1,1,12,3
17,32,0,1,0,0,1,0,13,3
10,12,0,1,0,0,1,0,13,4
16,24,0,1,0,0,1,1,17,4
15,29,0,1,0,0,0,1,13,5
19,17,0,1,0,0,0,0,17,5
8,41,0,0,0,0,1,1,16,1
10,40,0,0,0,0,1,0,16,3
6,10,0,1,0,0,1,0,14,3
6,43,0,0,0,0,1,0,10,3
7,41,0,1,0,0,1,0,10,4
8,18,0,1,0,0,1,0,16,2
12,28,0,1,0,0,1,0,12,4
10,37,0,1,0,0,1,0,13,2
5,20,0,1,1,0,1,0,16,4
8,10,1,1,0,0,1,0,13,2
13,31,0,1,0,0,1,0,16,3
3,18,0,1,0,0,1,1,12,3
12,9,1,1,0,0,0,0,17,3
13,42,0,1,0,0,1,0,16,3
17,14,0,1,0,0,1,0,16,4
12,27,0,1,0,0,1,0,16,3
5,20,0,1,1,1,0,1,14,3
7,14,0,1,0,0,1,0,17,3
12,4,0,1,0,0,1,0,17,3
15,13,0,1,0,0,1,0,17,3
6,5,0,1,0,0,1,1,17,3
8,32,0,1,0,0,1,1,17,3
9,19,1,1,0,1,1,1,17,4
7,14,0,1,0,1,0,1,17,4
20,28,0,1,0,0,1,1,17,3
10,31,1,1,0,0,1,0,17,3
8,18,0,1,0,0,1,0,13,4
5,23,0,1,0,0,1,1,5,3
11,14,0,1,0,0,1,0,16,4
7,17,0,1,0,0,1,0,13,2
10,16,0,1,0,0,1,0,13,3
11,19,0,1,0,0,1,0,16,3
16,26,0,1,0,0,1,0,17,3
5,20,0,1,0,1,1,1,12,4
7,18,0,1,0,0,1,0,17,3
19,35,0,1,0,0,1,0,17,3
5,9,0,1,0,1,0,1,17,4
7,20,0,1,0,1,0,1,17,2
14,7,0,1,0,0,1,1,17,4
9,40,0,1,0,0,0,1,17,4
30,12,0,1,0,0,1,1,17,3
33,33,0,1,0,0,1,1,16,4
10,16,0,1,0,0,1,0,16,3
8,15,0,1,0,1,1,0,16,3
22,11,0,1,0,0,1,1,17,3
16,24,0,1,0,0,1,1,17,4
6,6,0,1,0,0,1,1,17,2
21,40,0,1,0,0,1,1,17,2
23,15,0,1,0,0,1,1,17,5
5,9,0,1,0,0,1,1,17,4
7,16,0,1,0,0,1,0,17,2
6,12,0,1,0,1,0,1,13,2
5,8,0,1,0,0,1,1,17,3
8,25,1,1,0,1,0,1,17,3
9,24,1,1,0,1,1,1,16,3
9,25,1,1,0,1,0,0,17,4
8,7,0,1,0,1,0,1,17,4
10,40,0,1,1,1,0,1,10,3
2,29,0,0,0,1,0,1,8,3
8,13,0,1,0,1,1,1,17,4
5,5,0,1,0,1,0,1,14,4
7,10,0,1,0,1,1,0,16,3
4,25,1,1,0,0,1,1,13,3
8,10,0,1,0,1,1,1,16,3
6,20,0,1,0,0,0,1,17,2
4,7,0,1,0,0,0,0,16,3
7,25,0,1,0,1,1,1,13,2
8,8,0,1,0,1,0,1,17,3
4,8,0,1,0,1,1,1,14,2
8,28,0,1,0,0,1,0,14,3
5,37,0,1,0,0,1,1,16,2
5,31,0,1,0,0,1,1,17,3
2,24,0,1,0,0,1,1,16,4
4,33,0,1,0,0,1,1,17,4
4,8,0,1,0,0,1,1,17,4
5,33,0,1,0,0,1,1,17,3
5,30,0,1,0,0,1,1,17,3
7,23,0,1,0,0,1,1,17,3
10,24,0,1,0,0,1,0,16,3
7,4,0,1,0,0,1,0,17,4
9,40,0,1,0,1,0,1,17,3
5,1,0,1,0,1,0,1,16,3
3,36,0,1,1,1,0,1,13,3
6,7,0,1,0,1,0,1,17,4
6,7,0,1,0,1,1,0,12,5
5,14,0,1,0,1,0,1,13,3
6,7,0,1,0,1,1,1,17,3
6,11,1,1,0,1,0,1,16,4
4,6,0,1,0,0,1,1,16,3
7,23,0,1,0,1,1,1,16,3
4,19,0,1,0,1,0,1,17,2
6,30,0,1,0,0,1,0,13,3
6,21,0,1,0,0,1,1,17,4
12,9,0,1,0,0,1,1,17,4
19,29,1,1,0,0,1,1,17,3
8,9,0,1,0,1,0,1,17,3
6,18,0,1,0,1,0,1,17,4
6,26,0,1,0,1,0,1,17,3
6,21,1,1,0,0,1,1,17,4
2,12,1,1,0,1,1,1,17,2
3,11,0,1,0,0,0,1,17,3
2,18,0,1,0,0,0,1,17,4
6,22,0,1,0,0,1,1,17,3
9,38,0,1,0,1,0,1,17,4
6,10,1,1,0,1,1,1,17,3
7,22,1,1,0,1,1,1,16,3
7,16,1,1,0,1,0,1,17,2
7,20,1,1,0,1,1,1,17,2
6,14,1,1,0,1,1,1,16,3
4,14,0,1,0,1,1,1,16,4
13,15,1,1,0,0,1,1,17,4
7,18,1,1,0,0,0,1,17,3
8,21,1,1,0,1,1,1,17,3
7,15,0,1,0,0,1,1,16,3
5,10,1,1,0,1,0,1,17,3
2,6,0,1,0,1,1,1,16,4
5,8,1,1,0,1,1,1,14,2
9,18,0,1,0,1,0,1,17,2
10,15,1,1,0,1,0,1,17,3
4,11,0,1,0,1,1,1,13,4
7,20,1,0,1,1,1,1,17,3
11,18,1,1,0,1,1,1,17,3
5,10,1,1,0,1,1,1,17,3
7,26,1,1,0,1,0,1,14,3
12,35,1,0,0,1,0,1,17,3
7,30,1,1,0,1,1,1,16,4
6,6,1,0,0,1,0,1,16,4
4,13,1,1,0,1,1,1,17,3
3,10,0,0,0,1,1,1,16,3
2,16,0,1,0,1,1,1,16,3
4,5,1,1,0,1,1,1,17,4
6,11,1,1,0,1,0,1,17,3
2,6,0,1,0,1,1,1,14,4
8,22,1,1,0,0,1,1,17,3
3,4,0,1,0,1,0,1,12,3
5,15,1,1,0,1,1,1,17,4
7,7,0,1,0,1,0,1,17,3
5,10,0,1,0,1,1,1,16,3
10,8,1,1,0,1,1,1,16,3
3,14,0,1,1,1,1,0,13,3
5,11,1,1,0,0,1,1,17,3
7,34,1,1,0,0,1,1,17,3
8,12,1,1,0,0,1,1,17,4
3,10,1,1,0,0,1,1,17,3
6,11,0,1,0,1,0,1,17,2
6,8,1,1,0,0,0,1,17,4
5,28,0,1,1,0,0,1,16,3
15,24,1,1,0,0,1,1,17,2
4,8,1,1,0,1,0,1,17,3
10,13,0,1,0,0,1,1,17,4
3,4,1,1,0,0,1,1,13,3
6,43,1,1,0,0,1,1,17,4
7,30,0,1,0,1,1,1,16,3
10,16,1,1,1,0,0,1,16,3
9,19,1,1,0,0,1,1,17,3
7,21,0,0,0,0,1,1,17,3
10,26,0,1,0,1,0,1,17,3
5,8,1,1,0,0,1,1,16,3
2,24,0,1,0,1,0,1,17,3
13,15,1,1,0,0,1,1,17,4
6,26,1,1,0,0,1,0,12,3
3,6,0,0,0,0,1,0,16,3
6,19,0,1,0,0,1,0,12,2
5,4,0,1,0,0,1,0,12,3
2,23,0,1,0,0,1,1,13,4
6,25,0,1,0,0,1,1,13,4
7,18,0,1,0,0,1,0,12,3
9,27,0,1,0,0,1,0,13,2
4,16,0,1,0,0,1,0,10,3
8,20,0,1,0,0,1,1,12,3
5,12,0,0,0,0,1,0,14,3
10,35,0,1,0,0,1,0,12,4
4,36,0,1,0,0,0,0,12,1
6,35,0,1,0,0,1,0,13,3
5,5,0,1,0,0,1,1,17,3
8,15,1,1,0,0,1,0,13,4
13,44,1,1,0,0,1,0,12,3
8,28,0,1,0,0,1,0,13,3
4,2,1,1,0,1,0,1,13,4
3,43,0,1,0,0,1,1,12,3
12,30,1,1,0,0,1,0,10,3
8,26,0,1,0,0,1,0,12,3
7,40,1,0,0,0,1,0,12,3
3,7,0,1,1,1,0,1,13,4
6,10,1,1,0,1,0,0,12,3
4,37,0,1,0,0,1,1,12,2
10,27,1,1,0,0,1,1,17,4
4,5,0,1,0,0,1,1,17,3
8,14,0,1,0,0,1,0,13,2
9,16,0,1,0,0,0,0,16,2
6,4,0,1,0,0,1,0,17,3
5,39,0,1,0,0,1,1,16,3
5,32,1,1,0,0,1,1,12,3
6,16,0,1,0,0,1,1,17,4
7,10,0,1,0,1,0,1,17,4
7,15,0,1,0,0,1,0,17,4
8,10,0,1,0,0,1,1,17,4
5,10,0,1,0,1,0,0,13,3
9,12,0,0,0,1,1,0,12,3
5,4,0,1,0,0,0,0,16,4
15,12,0,1,0,0,0,0,17,3
2,15,0,1,0,1,1,0,12,4
7,37,0,1,0,1,0,0,12,4
9,23,0,1,0,0,1,0,14,4
8,15,0,1,0,0,1,0,16,3
15,10,0,1,0,0,0,0,17,4
5,14,0,1,0,1,1,0,12,4
11,17,0,1,0,0,0,0,13,3
12,24,0,1,0,0,1,0,16,3
14,13,0,1,0,0,1,0,17,4
3,5,0,1,0,1,1,0,13,3
3,20,0,1,0,1,1,0,12,3
10,29,0,1,0,0,1,0,14,4
7,10,0,1,0,0,0,0,16,4
10,36,0,1,0,0,1,1,13,3
5,15,0,1,0,1,1,1,13,3
5,26,0,1,0,1,1,1,12,3
5,13,0,1,0,1,1,1,14,4
10,26,0,1,0,0,1,0,14,3
5,9,1,1,0,0,1,0,12,3
11,40,0,1,0,0,1,0,12,1
7,28,1,0,0,0,1,0,16,3
8,12,0,1,0,0,0,0,16,2
6,25,0,1,0,1,1,1,13,4
8,18,0,1,0,1,1,0,13,4
4,9,0,1,0,0,0,0,17,3
7,9,1,1,0,0,1,0,13,3
16,30,0,0,0,0,1,0,17,4
9,40,0,1,0,1,0,0,14,3
13,36,0,1,0,0,1,0,17,3
14,30,0,1,0,0,1,0,16,4
12,27,1,1,0,0,1,1,12,3
9,22,1,1,0,0,1,1,12,3
10,40,1,1,0,0,1,0,13,3
6,40,0,1,1,0,1,1,12,3
8,21,0,1,0,0,1,0,14,3
8,36,1,0,0,0,1,0,13,3
4,16,0,1,0,1,1,1,12,4
8,36,1,0,0,0,1,0,10,3
3,18,0,1,0,0,1,0,13,3
13,11,0,1,0,0,0,0,16,4
42,16,0,0,0,0,1,0,13,4
5,12,0,1,0,1,1,0,13,4
1,2,1,1,0,0,1,0,10,3
4,4,0,1,0,0,0,0,16,3
5,21,1,1,0,0,1,1,16,3
5,4,0,1,0,0,0,0,12,3
8,32,1,1,0,1,0,1,17,2
4,7,0,1,0,1,0,0,16,3
5,5,0,0,0,0,0,0,13,3
16,23,0,1,0,0,1,0,16,3
8,23,1,1,0,0,1,0,5,3
7,14,0,1,0,0,1,0,13,3
8,13,0,1,0,0,1,0,16,4
9,28,0,1,0,0,1,0,13,3
7,35,0,1,0,0,1,0,14,4
8,16,0,1,0,0,1,0,13,4
6,12,0,1,0,0,1,1,17,4
6,7,0,1,0,0,1,1,17,3
4,25,0,1,0,0,1,1,12,3
14,22,1,1,0,0,1,0,13,3
6,22,0,1,0,0,1,1,17,3
31,32,0,0,0,0,1,0,13,3
10,35,0,1,0,0,1,1,13,4
5,28,0,1,0,0,1,0,12,3
6,18,0,1,0,0,1,0,13,3
3,11,0,1,0,1,0,0,17,3
13,40,0,1,0,0,1,0,13,3
4,10,0,1,0,0,1,0,13,2
9,40,0,1,0,0,1,1,12,3
3,7,0,1,0,1,1,0,16,3
26,24,0,1,0,0,1,0,12,3
8,36,0,1,0,0,0,0,12,4
9,34,0,1,0,0,1,1,13,3
21,44,0,1,0,0,1,0,16,3
10,44,0,1,0,0,1,1,13,3
9,30,0,1,0,0,1,0,16,3
2,23,0,1,0,0,1,0,12,4
3,5,0,0,0,0,0,0,13,3
6,25,0,1,0,0,1,1,16,4
10,14,0,1,0,0,0,0,13,4
6,5,0,1,0,0,1,0,12,3
6,20,0,1,0,0,1,0,12,3
4,1,0,1,0,0,0,0,10,2
6,13,0,1,0,0,0,0,16,4
10,15,0,1,0,0,1,0,12,4
21,35,0,1,0,0,1,0,12,3
9,20,0,1,0,0,1,0,12,4
4,12,0,1,0,0,1,1,12,5
4,7,0,1,0,1,0,1,16,4
3,7,0,1,0,1,0,0,16,3
3,32,0,1,0,0,1,0,12,4
6,13,0,1,0,0,1,0,13,3
8,15,0,1,0,0,1,1,13,3
4,33,0,0,0,1,0,1,10,3
6,48,0,1,0,0,1,0,8,3
12,38,0,1,0,0,1,0,16,4
11,28,0,1,0,0,1,1,16,3
2,18,0,1,0,1,1,0,13,4
2,24,0,1,0,1,0,1,13,1
7,27,0,1,0,0,0,1,12,3
11,24,0,1,0,0,1,0,5,3
2,16,0,1,0,0,1,1,10,3
4,44,0,1,0,1,1,0,12,3
12,14,0,1,0,0,1,0,16,4
7,16,0,1,0,0,1,0,12,3
11,18,0,1,0,1,1,1,16,3
2,18,0,1,0,1,1,1,13,2
19,15,0,1,0,0,1,0,13,4
7,41,0,1,0,0,1,0,12,4
26,28,0,1,0,0,1,0,16,3
4,24,0,1,0,0,1,0,12,3
11,13,0,1,0,0,1,0,12,3
10,22,0,1,0,0,1,0,13,3
5,18,0,1,0,0,1,0,13,4
7,40,0,1,0,0,1,0,13,3
4,17,0,1,0,0,1,0,13,4
10,17,0,1,0,0,1,0,12,3
10,20,0,1,0,0,1,0,16,4
4,30,0,1,0,0,1,1,12,4
8,30,0,1,0,0,1,0,12,3
7,22,0,1,0,0,1,1,12,4
8,7,0,1,0,0,1,0,12,4
9,23,0,1,0,0,0,0,14,3
1,8,0,1,0,1,1,0,13,3
5,31,0,1,0,0,1,0,10,4
7,30,0,1,0,0,1,0,12,3
9,26,0,1,0,0,0,0,13,2
6,24,1,1,0,0,1,0,12,4
7,12,1,1,0,0,1,0,13,3
1,37,0,1,0,1,1,0,12,3
5,16,0,1,0,1,0,0,14,4
14,23,0,1,0,0,1,1,16,3
2,9,0,1,0,0,1,0,10,2
3,14,0,1,0,0,1,1,14,2
11,8,0,1,0,0,0,0,13,5
8,41,0,1,0,0,1,0,16,2
3,5,0,1,0,0,0,0,13,4
6,30,0,1,0,0,1,0,12,3
5,12,0,1,0,0,1,1,17,4
4,24,0,1,0,1,0,0,12,3
7,19,0,1,0,0,1,0,13,3
8,20,0,1,0,0,1,0,12,4
8,23,0,1,0,1,1,1,14,2
3,3,0,1,0,0,0,0,8,3
5,20,0,1,0,0,1,0,13,4
3,45,0,1,0,0,1,0,5,2
6,31,0,1,0,0,1,0,12,3
17,23,0,1,0,0,1,0,13,4
4,7,0,1,0,0,0,1,13,3
16,23,1,1,0,0,1,0,10,3
18,25,0,1,0,0,1,0,13,3
10,28,1,0,0,0,1,0,8,3
25,36,0,1,0,0,1,0,12,3
8,14,0,1,0,0,1,0,13,3
10,41,0,1,0,0,1,0,17,4
2,15,0,1,0,0,1,0,10,3
5,34,0,0,1,0,1,1,17,4
8,20,0,1,0,0,1,0,16,3
13,20,0,1,0,0,1,0,16,4
17,35,0,1,0,0,1,0,17,4
2,25,0,1,1,0,1,0,10,3
5,38,0,1,0,0,1,0,13,4
6,16,0,1,0,1,0,0,17,3
5,6,0,1,0,0,0,0,16,2
4,14,0,1,0,0,1,0,13,3
21,34,0,1,0,0,1,0,8,4
6,8,0,1,0,0,0,1,17,4
26,17,0,1,0,0,1,1,17,3
3,27,0,1,0,0,1,1,12,3
8,13,0,1,0,0,0,0,13,3
6,42,0,1,0,0,1,0,12,3
5,11,0,1,0,0,1,0,16,4
6,12,0,1,0,0,1,0,12,4
8,43,0,1,0,0,1,0,12,4
17,18,0,1,0,0,1,0,16,3
10,17,0,1,0,0,0,0,16,3
4,4,0,1,0,0,0,0,13,2
5,40,0,1,0,0,1,0,12,4
6,14,0,1,0,0,1,0,16,4
16,32,0,1,0,0,1,0,12,3
3,13,0,1,0,1,1,1,12,3
8,34,1,0,0,0,0,0,13,3
8,10,0,1,0,0,0,0,16,3
4,25,0,1,0,0,0,0,10,3
6,11,0,1,0,0,1,0,13,4
13,40,0,1,0,0,1,0,13,3
39,29,0,1,0,0,1,0,13,3
2,30,0,0,0,1,0,0,13,3
10,20,1,1,0,0,1,0,16,3
13,12,0,1,0,0,1,0,16,4
5,20,0,1,0,1,0,0,13,4
15,29,0,1,0,0,1,0,17,3
10,15,0,1,0,0,1,0,17,2
2,37,1,1,0,1,0,0,10,3
9,11,0,1,0,0,0,0,13,3
5,19,0,1,0,0,1,0,13,4
9,13,0,1,0,0,1,0,13,3
10,41,0,1,0,0,1,0,10,3
6,11,0,1,0,0,1,0,10,3
4,26,0,1,0,1,0,0,12,3
5,7,0,1,0,0,1,0,13,4
5,21,0,1,0,0,1,0,12,4
2,1,0,1,0,1,0,0,16,4
3,26,0,1,0,1,1,0,10,3
4,1,0,1,0,1,0,0,12,3
3,12,0,1,0,1,1,0,12,3
2,3,0,1,0,1,1,0,12,2
3,5,0,1,0,1,1,0,12,3
5,5,1,1,0,0,0,0,13,2
7,6,0,1,0,0,1,0,14,3
3,1,0,1,0,0,0,0,12,4
2,6,0,1,0,1,1,0,12,4
8,38,0,1,0,0,1,0,12,3
11,38,0,1,0,0,1,0,12,3
5,37,0,1,0,0,1,0,13,3
8,26,0,1,0,0,1,0,13,4
7,42,0,0,0,0,1,0,13,3
8,42,0,1,0,0,1,0,12,3
7,10,0,1,0,0,1,0,14,3
9,16,0,1,0,0,1,0,12,4
5,34,0,1,0,0,1,0,13,2
3,17,0,1,0,0,0,0,12,2
5,12,0,1,0,1,0,0,12,3
5,24,0,1,0,0,1,0,12,3
4,3,0,1,0,1,1,0,13,3
2,3,0,0,0,1,0,0,13,4
3,14,0,1,0,0,1,0,10,3
5,3,0,0,0,1,0,0,12,3
3,32,0,1,0,0,1,0,12,4
5,9,0,1,0,0,1,0,13,4
12,34,0,1,0,0,1,0,13,3
6,5,0,1,0,0,1,0,14,3
4,10,0,1,0,1,1,0,12,2
1,2,0,1,0,1,0,0,13,4
4,34,0,1,0,1,1,0,8,3
2,17,0,1,0,1,1,0,12,3
4,10,0,1,0,1,0,1,12,4
6,44,0,1,0,1,1,0,13,3
4,11,0,1,0,1,1,0,12,4
5,3,0,1,0,1,0,0,12,4
